osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"161161965",ways_poly,,,,parking,,asphalt,,,,,,106.915376603443,47.9117589454787,POLYGON
"161161975",ways_poly,,,,parking,,,,surface,,,,106.914645156903,47.9131893594686,POLYGON
"859469476",ways_poly,,,,parking,,,,,,,,106.855721906703,47.9154562160904,POLYGON
"387978648",ways_poly,,,,parking,,,,,,,,106.959119252096,47.921187440089,POLYGON
"863018563",ways_poly,,,,parking,,,,,,,,106.97235425,47.9145149,POLYGON
"862405868",ways_poly,,,,parking,,,,,,,,106.975198535093,47.9169134770401,POLYGON
"859564764",ways_poly,,,,parking,,,,,,,,106.985114081021,47.923301513627,POLYGON
"896456487",ways_poly,,,,parking,,,,,,,,106.939639514308,47.8848863929622,POLYGON
"863731123",ways_poly,,,,parking,,,,,,,,106.816285779126,47.9225227936872,POLYGON
"864902606",ways_poly,,,,parking,,,,,,,,106.819903807657,47.9135518437903,POLYGON
"998193129",ways_poly,,,,parking,,,,,,,,106.849720769164,47.9128588405744,POLYGON
"972444906",ways_poly,,,,parking,,,,,,,,106.9055184,47.89893865,POLYGON
"242304535",ways_poly,,,,parking,,,,,,,,106.918033464693,47.9156717069735,POLYGON
"859429514",ways_poly,,,,parking,,,,,,,,106.876787429406,47.9149318219462,POLYGON
"1186139678",ways_poly,,,,parking,,,,,,,,106.90470783115,47.8993655815187,POLYGON
"865940845",ways_poly,,,,parking,,,,,,,,106.846916150724,47.9151625974155,POLYGON
"230331180",ways_poly,,,train_station,,,,,,,,Улаанбаатар 2 өртөөний буудал,106.8445136,47.90824875,POLYGON
"388099615",ways_poly,,,,parking,,,,,,,,106.936383421997,47.9088011243967,POLYGON
"242308700",ways_poly,,,,parking,,,,surface,,,,106.911923272855,47.9208528627981,POLYGON
"161161978",ways_poly,"10",,,parking,,,,surface,,,,106.912903868082,47.9122678381112,POLYGON
"930346419",ways_poly,,,,parking,,,,,,,,106.907361789012,47.9158313716275,POLYGON
"997966556",ways_poly,,,,parking,,,,,,,,106.831698280776,47.9144859695863,POLYGON
"388090977",ways_poly,,,,parking,,,,,,,,106.932988308833,47.9083941889008,POLYGON
"242304526",ways_poly,,,,parking,,,,surface,,,,106.921116649082,47.9147587968087,POLYGON
"388178232",ways_poly,,,,parking,,,,,,,,106.880957081421,47.913661815657,POLYGON
"388177584",ways_poly,,,,parking,,,,,,,,106.877369801804,47.9106623212159,POLYGON
"862476809",ways_poly,,,,parking,,,,,,,,106.977644515143,47.9139755351429,POLYGON
"860307971",ways_poly,,,,parking,,,,,,,,106.88102460786,47.91916599112,POLYGON
"385850298",ways_poly,,,,parking,,,,,,,,106.900826051904,47.9237298601234,POLYGON
"860324886",ways_poly,,,,parking,,,,,,,,106.975429197955,47.9228898415012,POLYGON
"1058324661",ways_poly,,,,parking,,,,,,,,106.977690950556,47.9239920613185,POLYGON
"1059484550",ways_poly,,,,parking,,,,,,,,106.977355445207,47.9159322171523,POLYGON
"863743215",ways_poly,,,,parking,,,,,,,,106.81275659549,47.9205653433767,POLYGON
"865190175",ways_poly,,,,parking,,,,,,,,106.818204017549,47.9071990141774,POLYGON
"902479223",ways_poly,,,,parking,,asphalt,,,,,,106.820314309148,47.9209836880801,POLYGON
"997966570",ways_poly,,,,parking,,,,,,,,106.83692015,47.9154068,POLYGON
"997966572",ways_poly,,,,parking,,,,,,,,106.836840579747,47.9144621615397,POLYGON
"902479216",ways_poly,,,,parking,,asphalt,,,,,,106.820234386179,47.9217459312989,POLYGON
"159676587",ways_poly,,,,parking,,,,surface,,,,106.907905005617,47.8968231211342,POLYGON
"955777414",ways_poly,,helipad,,,,,,,,,,106.7834768,47.8990598,POLYGON
"388177633",ways_poly,,,,parking,,,,,,,,106.90959007756,47.894102532347,POLYGON
"386314772",ways_poly,,,,parking,,,,,,,,106.905902708766,47.8867720275506,POLYGON
"158818779",ways_poly,,,,parking,,,,surface,,,,106.911747379626,47.8876496266169,POLYGON
"388053156",ways_poly,,,,parking,,,,,,,,106.8540908936,47.9133702444486,POLYGON
"388178087",ways_poly,,,,parking,,,,,,,,106.882342498666,47.9113688881306,POLYGON
"388177560",ways_poly,,,,parking,,,,,,,,106.879352587758,47.910996140618,POLYGON
"388178501",ways_poly,,,,parking,,,,,,,,106.879861025304,47.9116778959268,POLYGON
"859451591",ways_poly,,,,parking,,,,,,,,106.86813433813,47.9147799741414,POLYGON
"520468362",ways_poly,,,,parking,,,,,,,,106.705567456919,47.8834814724344,POLYGON
"865005309",ways_poly,,,,parking,,,,,,,,106.825459941086,47.9102058733817,POLYGON
"388081711",ways_poly,"50",,,parking,,,,,,,Зогсоол,106.823222085664,47.9116942436571,POLYGON
"870738438",ways_poly,,,,parking,,,,,,,,106.874485982918,47.9037225951392,POLYGON
"868687213",ways_poly,,,,parking,,,,,,,,106.881642165298,47.9038145655857,POLYGON
"866159403",ways_poly,,,,parking,,,,,,,,106.848283064199,47.9113889649019,POLYGON
"388166338",ways_poly,,,,parking,,,,,,,Хархорин 3ахын Авто 3огсоол,106.836711956379,47.9108887825173,POLYGON
"871192552",ways_poly,,,,parking,,,,,,,,106.840293394303,47.903023915366,POLYGON
"152506691",ways_poly,,,,parking,,,,,,,,106.928634800717,47.8979546231785,POLYGON
"386118161",ways_poly,,,,parking,,,,,,,,106.933657129879,47.8945991157088,POLYGON
"907268008",ways_poly,,,,parking,,,,,,,,106.931913520015,47.8981877984541,POLYGON
"386119188",ways_poly,,,,parking,,,,,,,,106.948658148413,47.9089550078364,POLYGON
"386946139",ways_poly,,,,parking,,,,,,,,106.947283616972,47.9242299333333,POLYGON
"241582289",ways_poly,,,,parking,,,,surface,,,,106.941381874037,47.9145690730503,POLYGON
"863786923",ways_poly,,,,parking,,,,,,,,106.946724879442,47.9141246609984,POLYGON
"936828662",ways_poly,,,,parking,,,,,,,,106.937580194416,47.9166331060905,POLYGON
"386904239",ways_poly,,,,parking,,,,,,,,106.907423115396,47.9090439518484,POLYGON
"684511894",ways_poly,,,yes,bus_station,,,,,station,,u money,106.923784062392,47.9187888133004,POLYGON
"242312013",ways_poly,,,,parking,,,,,,,,106.908531058764,47.9204130075001,POLYGON
"241573316",ways_poly,,,,parking,,,,surface,,,,106.901897316455,47.9192808226243,POLYGON
"386314745",ways_poly,,,,parking,,,,,,,,106.906475623959,47.8866644924641,POLYGON
"906708113",ways_poly,,,,parking,,,,,,,,106.764290325559,47.8556036215431,POLYGON
"386513091",ways_poly,,,,parking,,asphalt,,,,,,106.78634475,47.85527975,POLYGON
"614104073",ways_poly,,,,parking,,,,,,,,106.903969414303,47.9567978138926,POLYGON
"1057056444",ways_poly,,,,parking,,,,,,,,106.831552960733,47.8726349792023,POLYGON
"161064074",ways_poly,,,,parking,,,,surface,,,,106.887780198724,47.9264775631392,POLYGON
"862961453",ways_poly,,,,parking,,,,surface,,,,106.889776471526,47.9299313034226,POLYGON
"859621038",ways_poly,,,,parking,,,,,,,,106.986437460916,47.9209804317108,POLYGON
"386511397",ways_poly,,,,parking,,,,,,,,106.83175582926,47.9103480266778,POLYGON
"385424251",ways_poly,"15",,,parking,,,,,,,,106.909698666667,47.9257291333333,POLYGON
