station_name,station_id
Баянмонгол хороолол,000000771
Жаргалан хотхон,000000546
Төв цэнгэлдэх хүрээлэн,000000544
120 Мянгат,000001337
Ажилчдын соёлын ордон,000000541
Таван богд компани,000000539
Жем,000000535
Барилга угсралт компани,000000532
ТЭЦ-3,000001464
ХУЖИРБУЛАНГИЙН ЭЦЭС,000000465
Хужирбулан завсар 2,000000464
11-р цэргийн анги,000000452
120-р сургууль,000001384
Гачуурт завсар,000000450
15-н зогсоол,000001382
Хар хошуу,000000449
Мангай,000000447
Шар дэлгүүр,000000396
Пост,000000783
Хангамж 8-р зогсоол,000000394
Амгалан,000000392
12-ын буудал,000000390
Ботаник,000000388
Хууль сахиулах их сургууль,000000386
Шөнийн дэлгүүр,000000384
Чулуун овоо,000000382
Икс апартмент,000001402
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Монгол кино үйлдвэр,000000375
Ургах наран хороолол эцэс,000001480
Ургах наран хороолол,000000470
Усан сан,000000878
Ногооны зоорь,000000468
Налайх МТ ШТС,000000673
Хөх Тэнгэр хотхон,000000675
Баянзүрх ШБ товчоо,000000467
Хангамж 8-р зогсоол,000000394
Амгалан,000000392
12-ын буудал,000000390
Ботаник,000000388
Хууль сахиулах их сургууль,000000386
Шөнийн дэлгүүр,000000384
Чулуун овоо,000000382
Икс апартмент,000001402
Офицеруудын ордон,000000380
Офицеруудын ордон,000000379
Тахилтын эцэс,000000036
Тахилт 5,000000820
Тахилт 4,000000822
Тахилт 3,000000824
Тахилт 2,000000826
Тахилт 1,000000828
Тахилт давхар,000000830
Тахилт зам анги,000000832
Тахилт задгай,000000834
Ногоон хашаа,000000836
Тахилт худаг,000000838
Тахилт жаргалант,000000032
СХД 22-р хороо,000000841
Номгон,000000847
Тойрог,000000843
Орбит хуучин эцэс,000000031
Хүнс трейд,000000029
Зоорь,000000892
Цэргийн хотхон,000000027
Нефть хотхон,000000024
10 буудал,000000022
5 Шар,000000020
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000000009
Цамбагарав,000000006
Саппоро,000000004
3-р эмнэлэг,000000147
3-р эмнэлэг,000000148
НАРАНГИЙН ГОЛ,000000090
Нарангийн гол Дунд буудал,000000089
Нарангийн гол хуучин эцэс,000000087
Гараашийн буудал,000000085
Цэнхэр дэлгүүр,000000083
СХД 1-р хороо,000000081
Гүүрний буудал,000000079
Өрхийн эмнэлэг,000000077
42-р сургууль,000000075
Цэргийн хотхон,000000072
Нефть хотхон,000000024
10 буудал,000000022
5 Шар,000000020
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000000009
Цамбагарав,000000006
Саппоро,000000004
3-р эмнэлэг,000000147
10-р хороолол,000000149
10-р хороолол,000000150
НИСЭХ,000000505
7-р сургууль,000000507
Орон сууц,000000509
Буянт ухаа-1,000000503
Нисэхийн дэнж,000000512
ИНЕГ,000000510
Буянт-ухаа спорт цогцолбор,000000138
Яармагийн дэнж-1,000001285
Яармагийн дэнж,000000514
Элиганс хороолол,000001287
Сонсголон завсар,000001289
Бетон зуурмаг,000001291
Карьер,000000046
Сонсголон ШТС,000001293
Дэвшил компани,000000044
Мах маркет,000000042
Монос эмийн үйлдвэр,000000040
19-р сургууль,000000038
5 Шар,000000020
Баруун салааны шинэ эцэс,000000933
Баруун салааны 12-р буудал,100000111
Баруун салааны 11-р буудал,100000110
Баруун салааны 10-р буудал,100000108
Баруун салааны 9-р буудал,100000106
Баруун салааны 8-р буудал,100000104
БАРУУН САЛААНЫ ЭЦЭС,000000130
Баруун салааны 6-р буудал,000001280
Баруун салааны 5-р буудал,000000132
Баруун салааны завсар,000001610
Баруун салааны 4-р буудал,000000128
Баруун салааны 3-р буудал,000001278
Баруун салааны 2-р буудал,000000654
Баруун салааны 1-р буудал,000000126
Баян хошуу хуучин эцэс,000000105
7-р хороо,000000103
Цэргийн анги,000000101
Хилчин хотхон,000000649
Шар тал дэлгүүр,000000749
Хуруувчхан дэлгүүр,000000751
Өнхрүүш компани,000000753
Авто сургууль,000000062
21-р хороолол,000000052
Цахилгаан тээвэр,000000050
Геологийн төв лаборатори,000000048
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000000009
Цамбагарав,000000006
Саппоро,000000004
3-р эмнэлэг,000000147
10-р хороолол,000000149
10-р хороолол,000000150
Сансар ШТС,000000417
Сансарын үйлчилгээний төв,000000413
Хавдар судлалын эмнэлэг,000000401
Улаанбаатар их сургууль,000000406
Миний дэлгүүр,000000651
Замын цагдаагийн газар,000000311
ҮСА Хүрээлэн,000001503
Жигүүр гранд,000000285
Монгол эм импекс,000001407
Вокзал,000000178
Сансар ШТС,000000416
Сүхбаатар дүүргийн эмнэлэг,000000306
3-р сургууль,000000270
Баянбүрд,000000257
6-р Хороолол,000000255
Нарны титэм,000000253
Бөмбөгөр худалдааны төв,000000251
Баруун 4 зам,000000155
ТБД андууд,000000153
Богд ар хороолол,000001403
Вокзал,000000671
ТЭЦ-3,000000636
Олимп хотхон,000000724
Мотобуудлага спорт төв,000000560
ТЭХ барилгын зах,000000635
3-р эмнэлэг,000000145
Гэмтлийн эмнэлэг,000000161
МҮИС,000000177
Ахуй Үйлчилгээний ордон,000000169
Хүрээ дээд сургууль,000000170
Бичлийн аркны буудал,000000171
13-р сургууль,000000188
Гэмтлийн эмнэлэг,000000162
Дэнж,000001396
ТЭХ барилгын зах,000000634
Мотобуудлага спорт төв,000000561
Олимп хотхон,000000725
ТЭЦ-3,000000533
Цагаан давааны задгай,000000770
