station_id,latitude,longitude
000000601,47.97966,106.93829
000000415,47.92417,106.94124
000000289,47.92307,106.92642
000000937,47.92188,106.93488
000000277,47.91322,106.90041
000000399,47.91763,107.0338
000000398,47.91292,107.03694
000000396,47.90765,107.03504
000000783,47.90555,107.03456
000001012,47.92421,106.94128
000001349,47.92247,106.92032
000000283,47.91339,106.91505
000001362,47.94684,106.96976
000000439,47.91842,106.98461
000001399,47.92198,106.98591
000000157,47.91808,106.87753
000000058,47.9337,106.82003
000000224,47.95047,106.91076
000000222,47.95262,106.90753
000000217,47.9566,106.90243
000000220,47.9615,106.89717
000000658,47.9655,106.88891
000000657,47.96681,106.88652
000000190,47.96985,106.8796
000000192,47.97269,106.8727
000000288,47.92242,106.92022
000000258,47.92203,106.90448
000000256,47.92824,106.90858
000000271,47.92917,106.92001
000000687,47.91499,106.80336
000000259,47.92193,106.907
000000307,47.92247,106.92211
000000290,47.92269,106.92692
000000583,47.9194,106.97389
000000426,47.92292,106.97434
000000428,47.92361,106.98147
000001400,47.92041,106.98579
000001227,47.91854,106.98435
000000112,47.95596,106.82885
000000624,47.95522,106.83502
000000402,47.91272,106.94841
000000554,47.87717,106.91166
000001426,47.8808,106.91305
100000029,47.88292,106.91689
100000030,47.88456,106.91758
000000576,47.88731,106.91326
000000549,47.89551,106.9086
000000701,47.90524,106.90819
000000700,47.90193,106.89592
000000629,47.90412,106.89343
000000090,47.93446,106.76573
000000089,47.93055,106.76512
000000087,47.92807,106.76513
000000085,47.92398,106.76532
000000083,47.92283,106.765
000000081,47.92015,106.76613
000000070,47.91859,106.78184
000000068,47.91974,106.78922
000000066,47.92014,106.79534
000000064,47.92038,106.79988
000001411,47.92079,106.8066
000000531,47.89494,106.87403
000000780,47.89924,106.91597
000000778,47.89953,106.92672
000000776,47.90222,106.94035
000000621,47.90496,106.94901
000000137,47.94198,106.78714
000000136,47.93692,106.79032
000000668,47.93264,106.7932
000000094,47.92782,106.79633
000000092,47.92253,106.79907
000000962,47.9205,106.80155
000001405,47.91093,106.87435
000000003,47.99864,106.82546
000000124,47.99474,106.82584
000000123,47.98898,106.82749
000000121,47.98341,106.82764
000000119,47.97585,106.82857
000000111,47.96992,106.82939
000000109,47.96345,106.82839
100000019,47.9622,106.82791
000000957,47.96122,106.83364
000000012,47.91537,106.83245
000000016,47.91674,106.83855
000000014,47.91674,106.84659
000000015,47.91684,106.8514
000000183,47.91864,106.85714
000000185,47.91825,106.86933
000000639,47.91824,106.88226
000000543,47.90132,106.91001
000000548,47.89485,106.9085
000000551,47.88655,106.91071
000000552,47.88246,106.91107
000001427,47.88008,106.9126
000000516,47.87274,106.80663
000000518,47.86652,106.80656
000000286,47.91857,106.92385
000000156,47.91544,106.87656
000000198,47.92714,106.89326
000000196,47.93351,106.8868
000000194,47.93803,106.88355
000000141,47.94387,106.87446
000000139,47.94611,106.86894
000001294,47.9491,106.86313
000000642,47.95124,106.85895
000000640,47.95419,106.85131
000000115,47.95699,106.84028
000001438,47.95526,106.88438
000000206,47.95185,106.88896
000000209,47.94822,106.89734
000000211,47.94555,106.90148
000000213,47.94297,106.90325
000000216,47.9387,106.90647
000000296,47.92794,106.91429
000001347,47.9539,106.77654
000000943,47.95141,106.77773
000000941,47.94805,106.78037
000000939,47.94231,106.7851
000000067,47.92013,106.79329
000000069,47.91983,106.7881
000000071,47.91878,106.78174
000000955,47.9508,106.77392
000000953,47.94608,106.77613
000000951,47.94307,106.77813
000001364,47.93601,106.78321
000001365,47.93307,106.78397
000001367,47.92786,106.78574
000001369,47.92278,106.78515
000001377,47.89203,106.92649
000001452,47.88971,106.93422
000000626,47.892830000000004,106.93683
000001340,47.90209,106.92904
000000608,47.91515,106.9212
000001213,47.94666,106.97501
000001212,47.94315,106.9753
000001210,47.93554,106.97502
000001208,47.93214,106.97458
000001206,47.92612,106.97302
000001339,47.90099,106.92965
000001446,47.90593,106.9436
000000405,47.90981,106.9436
000000400,47.91348,106.94395
000000202,47.91838,106.91187
000000200,47.92299,106.91092
000000293,47.92769,106.91754
000000291,47.92688,106.9269
000001453,47.84525,106.72498
000001454,47.84702,106.72308
000001455,47.84837,106.72163
000001456,47.84922,106.72417
000001457,47.84729,106.72654
000001458,47.84557,106.72854
000000508,47.85753,106.76215
000000506,47.86147,106.76233
000000632,47.856700000000004,106.78234
000000511,47.85641,106.77677
000000513,47.85631,106.77038
000000504,47.85612,106.76394
000000912,47.86928,106.7642
000000916,47.87154,106.76032000000001
100000026,47.92149,106.85934
000001451,47.91791,106.91156
000000720,47.89167,106.87126
000000528,47.88098,106.85746
000000717,47.87708,106.85002
000000308,47.91312,106.9224
000000775,47.90208,106.93903
100000148,47.89768,106.92694
000001494,47.89746,106.91911
000001496,47.8964,106.91471
000001536,47.87478,106.90736
000001538,47.87096,106.90533
000001540,47.86685,106.90314
000000756,47.89065,106.7976
000001466,47.89081,106.79171
000000240,47.96906,106.91751
000000313,47.97472,106.91829
000001255,47.98055,106.92126
000001257,47.98395,106.92415
000001342,47.98939,106.92537
000000330,47.99407,106.92587
000000332,48.00101,106.92448
000000900,48.00525,106.92339
000001001,47.91905,106.89063
000000187,47.92479,106.87325
000000191,47.96943,106.88026
000000219,47.96724,106.88516
000000659,47.9651,106.88957
000000221,47.96193,106.89677
000000218,47.95699,106.90174
000000223,47.95309,106.90669
000000557,47.900710000000004,106.89326
100000142,48.01654,106.82377
100000100,48.01341,106.82364
100000098,48.00959,106.82362
100000096,48.00466,106.82478
000000107,47.96058,106.82695
000000059,47.93914,106.82286
000000037,47.90829,106.79536
000001442,47.90655,106.77475
100000115,47.90573,106.76452
100000117,47.905030000000004,106.75811
100000119,47.90409,106.74872
100000121,47.90244,106.7408
100000123,47.90193,106.72929
100000125,47.90082,106.71562
000001260,47.88561,106.70277
000001261,47.88595,106.70271
000000465,47.92443,107.07623
000000464,47.92097,107.07721
000000452,47.91573,107.07575
000001384,47.91566,107.07087
000000450,47.91564,107.06772
000001382,47.91554,107.0621
000000449,47.91546,107.05592
