id,trip_id,sequence_number,start_bus_stop,end_bus_stop
614,34,9,000000561,000000725
615,34,10,000000725,000000533
616,35,1,000000770,000001544
617,35,2,000001544,000000441
618,35,3,000000441,000000762
619,35,4,000000762,000000764
620,35,5,000000764,000000766
621,35,6,000000766,000000768
622,35,7,000000768,000000424
623,35,8,000000424,000000427
624,35,9,000000427,000000584
625,35,10,000000584,000000380
626,35,11,000000380,000000378
627,35,12,000000378,000000376
628,35,13,000000376,000000374
629,35,14,000000374,000000414
630,36,1,000000770,000001544
631,36,2,000001544,000001547
632,36,3,000001547,000001549
633,36,4,000001549,000001551
634,36,5,000001551,000001560
635,36,6,000001560,000000364
636,36,7,000000364,000001555
637,36,8,000001555,000001557
638,36,9,000001557,000001559
639,36,10,000001559,000000269
640,36,11,000000269,000000267
641,36,12,000000267,000000302
642,36,13,000000302,000000303
643,36,14,000000303,000000305
644,36,15,000000305,000000417
645,36,16,000000417,000000413
646,37,1,000000437,000000436
647,37,2,000000436,000000434
648,37,3,000000434,000000431
649,37,4,000000431,000000429
650,37,5,000000429,000000427
651,37,6,000000427,000000584
652,37,7,000000584,000000380
653,37,8,000000380,000000378
654,37,9,000000378,000000376
655,37,10,000000376,000000374
656,37,11,000000374,000000372
657,37,12,000000372,000000370
658,37,13,000000370,000000585
659,37,14,000000585,100000131
660,37,15,100000131,000000193
661,37,16,000000193,100000010
662,37,17,100000010,000000155
663,37,18,000000155,000001154
664,37,19,000001154,000000159
665,37,20,000000159,000000182
666,37,21,000000182,000000165
667,37,22,000000165,000000164
668,38,1,000000117,000000114
669,38,2,000000114,000000641
670,38,3,000000641,000000643
671,38,4,000000643,000001295
672,38,5,000001295,000000140
673,38,6,000000140,000000142
674,38,7,000000142,000001436
675,38,8,000001436,000000195
676,38,9,000000195,000000197
677,38,10,000000197,000000199
678,38,11,000000199,000000177
679,38,12,000000177,000000182
680,38,13,000000182,000000165
681,38,14,000000165,000000164
682,38,15,000000164,000000162
683,38,16,000000162,000001396
684,38,17,000001396,000000745
685,38,18,000000745,000000746
686,38,19,000000746,000000017
687,38,20,000000017,000000013
688,39,1,000000117,000000116
689,39,2,000000116,000000625
690,39,3,000000625,000000113
691,39,4,000000113,000000105
692,39,5,000000105,000000103
693,39,6,000000103,000000101
694,39,7,000000101,000000649
695,39,8,000000649,000000099
696,39,9,000000099,000000097
697,39,10,000000097,000000056
