id,station_id,latitude,longitude
362,830,47.91151,106.70972
363,832,47.90865,106.71341
364,834,47.90679,106.71969
365,836,47.90581,106.72514
366,838,47.90729,106.73182
367,32,47.91047,106.73532
368,841,47.91178,106.73975
369,847,47.91296,106.74568
370,843,47.91509,106.75069
371,31,47.91228,106.75429
372,29,47.90747,106.76296
373,892,47.90799,106.76908
374,27,47.91038,106.77972
375,148,47.91331,106.85913
376,505,47.86531,106.7631
377,507,47.86039,106.76186
378,509,47.8571,106.76211
379,1285,47.86223,106.78815
380,514,47.86684,106.78665
381,1287,47.87232,106.78446
382,1289,47.88014,106.78464
383,1291,47.88411,106.78512
384,46,47.88821,106.78533
385,1293,47.89273,106.7855
386,44,47.8986,106.7857
387,42,47.90198,106.78585
388,40,47.90607,106.78602
389,933,48.01749,106.7845
390,100000111,48.01176,106.78784
391,100000110,48.00797,106.79001
392,100000108,48.00278,106.79494
393,100000106,47.99714,106.79814
394,100000104,47.99252,106.79997
395,130,47.98751,106.80177
396,1280,47.9806,106.80332
397,132,47.97658,106.80406
398,1610,47.9743,106.80488
399,128,47.97022,106.80734
400,1278,47.96741,106.81171
401,654,47.96276,106.81687
402,126,47.95971,106.8206
403,105,47.95324,106.82592
404,103,47.94834,106.82491
405,101,47.94496,106.82122
406,649,47.94194,106.81561
407,749,47.93484,106.81131
408,751,47.93159,106.81133
409,753,47.92799,106.80987
410,62,47.9214,106.81447
411,52,47.9205,106.81679
412,50,47.91711,106.81808
413,48,47.91108,106.81868
414,966,47.95756,106.80896
415,968,47.95269,106.80913
416,970,47.94911,106.80775
417,972,47.94525,106.80745
418,974,47.93497,106.81125
419,1412,47.91006,106.81549
420,255,47.92698,106.90336
421,253,47.92344,106.90109
422,251,47.9197,106.89888
423,155,47.91517,106.89281
424,153,47.9149,106.8863
425,1403,47.91128,106.88384
426,671,47.90902,106.88512
427,724,47.89865,106.86052
428,560,47.9017,106.85715
429,635,47.90468,106.85564
430,145,47.91468,106.85505
431,161,47.92143,106.85921
432,169,47.9242,106.889
433,170,47.92584,106.88388
434,171,47.92511,106.87889
435,188,47.92495,106.87275
436,634,47.90452,106.85542
437,561,47.90069,106.8574
438,725,47.89885,106.86149
439,533,47.89923,106.8677
440,770,47.94663,106.97531
441,1544,47.94697,106.97064
442,441,47.94298,106.96946
443,762,47.94043,106.96883
444,764,47.93749,106.96724
445,766,47.93303,106.9652
446,768,47.92883,106.9658
447,424,47.92408,106.97287
448,427,47.92231,106.97403
449,584,47.91786,106.97345
450,378,47.91662,106.96472
451,376,47.91705,106.95984
452,374,47.91804,106.94882
453,414,47.92571,106.94168
454,1547,47.94984,106.96836
455,1549,47.95406,106.96271
456,1551,47.95398,106.95046
457,1555,47.94965,106.93107
458,1557,47.94979,106.92196
459,1559,47.9491,106.91508
460,302,47.9377,106.92088
461,303,47.93125,106.92722
462,305,47.92986,106.92837
463,372,47.919,106.94169
464,370,47.91849,106.93232
465,585,47.91811,106.92596
466,100000131,47.91707,106.91796
467,193,47.91655,106.90946
468,100000010,47.91592,106.90221
469,1154,47.91585,106.89122
470,159,47.91914,106.8909
471,117,47.9597,106.83873
472,114,47.9554,106.84197
473,641,47.9533,106.85314
474,643,47.95068,106.85972
475,1295,47.9478,106.86531
476,140,47.9456,106.86969
477,142,47.94344,106.87533
478,1436,47.94117,106.88114
479,195,47.938,106.88335
480,197,47.93102,106.88798
481,199,47.92661,106.89373
482,745,47.91699,106.85184
483,746,47.91692,106.8465
484,17,47.9169,106.8386
485,13,47.91552,106.83227
486,116,47.95524,106.83897
487,625,47.95553,106.8339
488,113,47.95628,106.8275
489,99,47.93648,106.81485
490,97,47.93307,106.81611
491,56,47.92835,106.81657
492,54,47.92403,106.8161
493,1404,47.912,106.88403
494,152,47.91456,106.87856
495,186,47.91838,106.86892
496,184,47.91884,106.85848
497,163,47.92231,106.8686
498,166,47.92244,106.87282
499,167,47.92258,106.87834
500,168,47.92292,106.88698
501,176,47.92452,106.89389
502,260,47.93405,106.90688
503,215,47.93986,106.90557
504,214,47.94398,106.90303
505,212,47.94623,106.90027
506,210,47.9483,106.89761
507,208,47.95108,106.89238
508,205,47.95243,106.88864
509,1439,47.95575,106.88426
510,204,47.95871,106.8814
511,180,47.90896,106.89058
512,179,47.9116,106.89483
513,248,47.91639,106.89559
514,250,47.92033,106.89947
515,252,47.92514,106.90193
516,254,47.92724,106.90413
517,678,47.9588,106.88172
518,265,47.93957,106.91184
519,263,47.93588,106.90799
520,261,47.93281,106.90564
521,8,47.9119,106.83945
522,10,47.91136,106.83255
523,19,47.9107,106.824
524,47,47.91267,106.8187
525,49,47.91654,106.8184
526,51,47.92084,106.81699
527,61,47.92149,106.81265
528,230,48.00035,106.87386
529,229,47.99476,106.87724
530,227,47.98982,106.88147
531,232,47.98506,106.88299
532,225,47.9812,106.88808
533,235,47.97776,106.8929
534,234,47.97442,106.90091
535,238,47.97142,106.90528
536,665,47.96955,106.91168
537,201,47.92388,106.911
538,203,47.91784,106.9116
