end_time_at_start_point,station_list,result_code,line_name,line_id,weekday_interval,start_time_at_end_point,holiday_interval,start_time_at_start_point,line_type,end_time_at_end_point,direction
21:31,"['000000137', '000000136', '000000668', '000000094', '000000092', '000000962', '000001411', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000001405', '000000178']",1,Ч:46 (Ulaanchuluut-Railway station),11100460,6,07:38,8,07:20,,22:09,start
21:59,"['000000003', '000000124', '000000123', '000000121', '000000119', '000000111', '000000109', '100000019', '000000112', '000000624', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000259', '000000307', '000000287']",1,Ч:48 (Zuun salaa station-Mongolian national university of education),11100480,8,07:22,12,07:30,,22:42,start
21:15,"['000000003', '000000124', '000000123', '000000121', '000000119', '000000111', '000000109', '000000957', '000000117', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000259', '000000307', '000000287']",1,Ч:48A (Zuun salaa station-Mongolian national university of education),11100482,8,07:39,12,07:30,,21:58,start
21:02,"['000000012', '000000016', '000000014', '000000015', '000000183', '000000185', '000000157', '000000639', '000000248', '000000250', '000000259', '000000307', '000000290', '000000413', '000000401', '000000406', '000001445', '000000621']",1,Ч:49 (Flat 34-Dunjingarav trade center),11100490,4,07:49,5,07:20,,22:01,start
21:59,"['000000439', '000001399', '000000429', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000372', '000000370', '000000585', '100000131', '000000283', '000001337', '000000541', '000000539', '000000535', '000000532', '000001464']",1,Ч:50 (Ulaankhuaran final station-3rd power plant),11100500,5,07:16,7,07:30,,22:46,start
22:18,"['000000163', '000000166', '000000167', '000000168', '000000176', '000000259', '000000307', '000000287', '000000281', '000000369', '000000371', '000000401', '000000406', '000001445', '000000621']",1,Ч:51 (Duukhee market-Dunjingarav trade center),11100510,4,07:43,5,07:30,,23:01,start
21:51,"['000000163', '000000166', '000000167', '000000168', '000000176', '000000259', '000000203', '000000283', '000000543', '000000548', '000000551', '000000552', '000001427', '000000554']",1,Ч:52 (Duukhee market-Zaisan),11100520,7,07:29,10,07:30,,22:29,start
21:50,"['000000516', '000000518', '000000521', '000000523', '000000525', '000000529', '000001313', '000000718', '000000527', '000000721', '000000534', '000000538', '000000540', '000000542', '000000282', '000000286']",1,Ч:53 (Yarmag final station-Mongolian national university of education),11100530,5,07:24,9,07:20,,22:30,start
21:46,"['000000516', '000000518', '000000521', '000000523', '000000525', '000000529', '000001313', '000000718', '000000527', '000000721', '000000532', '000000636', '000000724', '000000560', '000000635', '000000147', '000000149', '000000156', '000000167', '000000168', '000000176', '000000198', '000000196', '000000194', '000000141', '000000139', '000001294', '000000642', '000000640', '000000115', '000000117']",1,Ч:54 (Yarmag final station-Bayankhoshuu),11100540,4,07:10,7,07:20,,22:56,start
21:43,"['000000204', '000001438', '000000206', '000000209', '000000211', '000000213', '000000216', '000000263', '000000261', '000000256', '000000296', '000000201', '000000203', '000000283', '000000543', '000000548', '000000551', '000000552', '000001427', '000000554']",1,Ч:55 (Autobus baaz-Zaisan),11100550,4,07:24,7,07:30,,22:32,start
21:08,"['000000137', '000000136', '000000668', '000000094', '000000092', '000000962', '000001411', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000151', '000001225', '000000248', '000000250', '000000259', '000000307']",1,Ч:57 (Ulaanchuluut-National university of mongolia),11100570,5,07:31,6,07:20,,22:03,start
21:01,"['000001347', '000000943', '000000941', '000000939', '000000137', '000000136', '000000668', '000000094', '000000092', '000000962', '000001411', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000151', '000001225', '000000248', '000000250', '000000259', '000000307']",1,Ч:57Б (Altan ovoo street 48-National university of mongolia),11100573,15,07:50,20,07:30,,22:03,start
21:58,"['000001464', '000000531', '000000534', '000000538', '000000540', '000000542', '000000282', '000000193', '100000010', '000000155', '000001154', '000000159', '000000182', '000000165', '000000164']",1,"Ч:58 (3rd power plant-Final station of 3, 4th section)",11100580,4,07:22,5,07:20,,22:38,start
21:32,"['000000067', '000000069', '000000071', '000000072', '000000024', '000000022', '000000020', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000150']",1,Ч:6 (65th market-10th section),11100060,8,07:19,10,07:20,,22:07,start
21:10,"['000000636', '000000558', '000000618', '000000555', '000000702', '000000282', '000000279', '000000281', '000000369', '000000371', '000000373', '000000375', '000000377', '000000379', '000000380']",1,Ч:61 (3rd power plant-Officer station),11100612,5,07:24,7,07:30,,22:01,start
21:50,"['000001347', '000000955', '000000953', '000000951', '000001364', '000001365', '000001367', '000001369', '000000068', '000000066', '000000962', '000001411', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000150']",1,Ч:62 (Altan ovoo street 48-10th section),11100620,6,07:13,9,07:20,,22:30,start
21:56,"['000001377', '000001452', '000000626', '000001340', '000000608', '000000286']",1,Ч:63 (Khan hills-Mongolian national university of education),11100630,10,07:35,12,07:30,,22:21,start
