station_id,station_name
1559,Рашааны гудамж 3
302,9-р дэлгүүр
303,Жоби дэлгүүр
305,100 айл
372,Зүүн 4 зам
370,Хөдөлмөрийн яам
585,МУБИС
100000131,Сүхбаатарын талбай
193,Мөнгөн завьяа
100000010,Энхтайван найрамдлын ордон
1154,Макс Малл
159,Модны 2
117,БАЯНХОШУУ
114,Жанцан дэлгүүр
641,112-ын Буудал
643,Хөтөл
1295,Цэгээн нуур
140,Колонкийн буудал
142,Шинэ буудал
1436,626-р худаг
195,Зурагт шинэ эцэс
197,Зурагт хуучин эцэс
199,МҮИС
745,1-р Байр
746,11-р Байр
17,23-р байр
13,34-р байр
116,Жанцан дэлгүүр
625,Баянхошуу завсар
113,Баян хошуу тойрог
99,Шинэ давхар
97,Өндөр настан
56,Давхар дэлгүүр
54,Сонгино хайрхан дүүрэг
1404,Богд ар хороолол
152,25-р эмийн сан
186,Эрдмийн ундраа цогцолбор
184,Гэмтлийн эмнэлэг
163,Дүүхээ дэлгүүр
166,11-р байр
167,Парадокс
168,Сентоза
176,Гандан
260,Цагаан байр
215,Дэнжийн 1000-ын 1-р зогсоол
214,Дэнжийн 1000-ын 2-р зогсоол
212,Дэнжийн 1000-ын 3-р зогсоол
210,Дэнжийн 1000-ын 4-р зогсоол
208,Булгын 6-р гудамж
205,Дэнжийн 1000-ын 5-р зогсоол
1439,Дэнжийн 1000-ын 6-р зогсоол
204,Дэнжийн 1000-ын эцэс
180,Барс худалдааны төв
179,Тээврийн товчоо
248,Элба дэлгүүр
250,Бөмбөгөр худалдааны төв
252,Баянбогд төв
254,6-р Хороолол
678,Дэнжийн 1000-ын эцэс
265,57-р сургууль
263,39-р сургууль
261,Цагаан байр
8,19-р байр
10,32-р байр
19,Та Чи
47,Сүү хувьцаат компани
49,Цахилгаан тээвэр
51,21-р хороолол
61,ЧИНГИС СООСЭ Дээд Сургууль
230,ЗҮРХ УУЛ /Чингэлтэйн эцэс/
229,Зүрх уулын 2-р зогсоол
227,Зүрх уулын 1-р зогсоол
232,Чингэлтэйн хуучин эцэс
225,Чингэлтэйн 6-р зогсоол
235,Чингэлтэйн 5-р зогсоол
234,Чингэлтэйн 4-р зогсоол
238,Чингэлтэйн 3-р зогсоол
665,Чингэлтэйн 2-р зогсоол
201,Хүнсний 1-р дэлгүүр
203,Ард кино театр
262,39-р сургууль
264,57-р сургууль
266,32-ын тойрог
268,17-р сургууль
246,5 буудал
244,7 Завсар
1443,Оргил супермаркет
242,6 буудал
239,Чингэлтэйн 1-р буудал
664,Чингэлтэйн 2-р зогсоол
237,Чингэлтэйн 3-р зогсоол
233,Чингэлтэйн 4-р зогсоол
236,Чингэлтэйн 5-р зогсоол
226,Чингэлтэйн 6-р зогсоол
231,Чингэлтэйн хуучин эцэс
1468,Зүрх уулын 1-р зогсоол
228,Зүрх уулын 2-р зогсоол
1531,Буянт ухаа-1
1467,ТЭЦ4-дунд
1303,Зогсоол-5
1301,Зогсоол-4
1191,Зогсоол-3
1189,Зогсоол-2
1187,Зогсоол-1
1470,Говь 2
1186,ОУБДС
706,Тоосгоны Үйлдвэр Эцэс
704,Тоосгоны Үйлдвэр
591,Дарь эх Завсар 2
479,Дарь эх завсар 1
488,33-ын буудал
1162,Станц
1164,Сод Монгол ШТС
481,Ганц худаг
485,Дарь эх Шинэ эцэс
709,Дүнжингарав дэлгүүр
710,2-ын Буудал
682,Жанжин Клуб
1140,Өвөр согоот
644,Өвөр-Согоот 1-р зогсоол
794,Худгийн зогсоол
100000045,Өвөр согоот 2-р зогсоол
803,Өвөр согоот Усан сан
680,Япон цэргийн цогцолбор
801,65-ын зогсоол
321,Сургуулийн буудал
799,Дамбадаржаа хийд
316,Миний зах
804,МҮЭСТО
189,Барс худалдааны төв
1179,Сэлх 
1177,Сэлх 6
1175,Сэлх 5
1173,Сэлх 4
1171,Сэлх 3
1169,Сэлх 2
1167,Сэлх 1
595,Дерийм дэлгүүр
593,71-р Сургууль
598,Бэлхийн хуучин эцэс
328,Цэнхэр ТҮЦ
326,Цагаан худаг
599,Нарийн гудамж
324,Дамбадаржаа завсар
318,Хаан банк
361,Сэлбэ амралт
726,Сэлбэ 9
728,Сэлбэ 8
730,Сэлбэ 7
732,Сэлбэ 6
734,Сэлбэ 5
736,Сэлбэ 4
738,Сэлбэ 3
740,Сэлбэ 2
742,Сэлбэ 1
360,СБД 20-р хороо
597,Түмэн баялаг дэлгүүр
601,Дамбадаржаа
415,Сансар /Тунель/
289,Хөгжим бүжгийн коллеж
937,Чингис зочид буудал
277,Аэрофлот
399,УЛИАСТАЙН ШИНЭ ЭЦЭС
398,Улиастайн хуучин эцэс
396,Шар дэлгүүр
783,Пост
1012,Сансар /Тунель/
1349,Монгол Улсын Их Сургууль
283,Баянгол зочид буудал
1362,Монелийн 43
439,УЛААНХУАРАН -ын эцэс
1399,Батлан хамгаалахын ИС
157,4-р хороолол
58,Ханын Материалын Комбинат
224,Гялгар зах
222,Хайлааст-Давхрын буудал
217,49-р сургууль
220,Хайлааст хуучин эцэс
658,Хайлааст завсар 1
657,Хайлааст завсар 2
190,Хайлааст завсар 3
192,Хайлаастын шинэ эцэс
288,Монгол Улсын Их Сургууль
258,Тэнгис кино театр
256,Баянбүрд
271,Өдрийн сонин
687,Алтан тариа
259,Чингэлтэй дүүрэг
307,Монгол Улсын Их Сургууль
290,64-р дэлгүүр
583,Генерал худалдааны төв
426,72-р хотхон
428,16-р хороолол
1400,Батлан хамгаалахын ИС
1227,УЛААНХУАРАН -ын эцэс
112,Баян хошуу тойрог
624,Баянхошуу завсар
402,ХАЛДВАРТЫН ЭМНЭЛЭГ
554,ЗАЙСАН
1426,Сөүл хотхон
100000029,Америк Cургууль
100000030,Зайсан голден вилл
576,Танктай хөшөө
549,Оргил рашаан сувилал
701,Дунд голын 1-р буудал
700,Жаргалант төв
629,Алтай хотхон
90,НАРАНГИЙН ГОЛ
89,Нарангийн гол Дунд буудал
87,Нарангийн гол хуучин эцэс
85,Гараашийн буудал
83,Цэнхэр дэлгүүр
81,СХД 1-р хороо
70,Толгойтын эцэс
68,Толгойт Шөнийн дэлгүүр
66,65-р дэлгүүр
64,Их наран 1
1411,Толгойт-1
531,Барилга угсралт компани
780,Хурд хороолол
778,Жапен таун
776,Үндэсний Цэцэр-хүр
621,Дүнжингарав Худалдааны төв
137,Улаанчулуут
136,Улаан чулуут завсар
668,Их Наран
94,Их наран 2
92,Их наран дунд зогсоол
962,Их наран 1
1405,Хермес худалдааны төв
3,Зүүн салааны хуучин эцэс
124,Одонт 44
123,Одонт 30
121,Улаан худаг
119,Улаан дэлгүүр
111,Зүүн салааны эцэс
109,Зүүн салааны 2-р зогсоол
100000019,Зүүн салааны 1-р зогсоол
957,Баянхошууны зогсоол
12,34-р байр
16,23-р байр
14,11-р байр
15,1-р байр
183,М-ойл ШТС
185,Эрдмийн ундраа цогцолбор
639,Монгени сургууль
543,120 мянгат
548,MCS-ын буудал
551,Хөдөө аж ахуйн их сургууль
552,Лаборатори
1427,Сөүл хотхон
516,ЯАРМАГИЙН ЭЦЭС
518,Яармаг хуучин эцэс
286,МУБИС
156,25-р эмийн сан
198,МҮИС
196,Зурагт хуучин эцэс
194,Зурагт шинэ эцэс
141,Шинэ буудал
139,Колонкийн буудал
1294,Мөнгөн болор угаалга
642,Хөтөл
640,112-н Буудал
115,Жанцан дэлгүүр
1438,Дэнжийн 1000-ын 6-р зогсоол
206,Дэнжийн 1000-ын 5-р зогсоол
209,Дэнжийн 1000-ын 4-р зогсоол
211,Дэнжийн 1000-ын 3-р зогсоол
213,Дэнжийн 1000-ын 2-р зогсоол
216,Дэнжийн 1000-ын 1-р зогсоол
296,Хүрд компани
1347,Алтан овоо 48-р гудамж
943,Алтан овооны завсар 3
941,Алтан овооны завсар 2
939,Алтан овооны завсар 1
67,65-р дэлгүүр
69,Толгойт Шөнийн дэлгүүр
71,ТОЛГОЙТЫН ЭЦЭС
955,Алтан овооны 6
953,Алтан овооны 5
951,Алтан овооны 4
1364,Алтан овооны 42-р гудамж
1365,Алтан овооны 3
1367,Алтан овооны 2
1369,Алтан овооны 1
1377,Хан Хиллс
1452,Ривер гарден 1
626,Маршал таун
1340,Энканто таун
608,Эрүүл мэнд Спортын Яам
1213,Цагаан давааны задгай
1212,Худаг
1210,Мишээл дэлгүүр
1208,5 Толгой дэлгүүр
1206,Жолооны дадлагын талбай
1339,Энканто таун
1446,Их монгол хороолол
405,Шөнийн зах
400,Баянзүрх их дэлгүүр
202,Цэцэг төв
200,Хүнсний 1-р дэлгүүр
293,4-р дэлгүүр
291,11-р хороолол
1453,Морин 3
1454,Морин 7
1455,Морин 11
1456,Морин 10
1457,Морин 6
1458,Морин 2
508,Орон сууц
506,7-р сургууль
632,Буянт-ухаа спорт цогцолбор
511,ИНЕГ
513,Нисэхийн дэнж
504,Буянт ухаа-1
912,Нисэх 1-р зогсоол
916,Нисэхийн шинэ эцэс
100000026,Гэмтлийн эмнэлэг
1451,Ард кино театр
720,MSM
528,Вива сити
717,Хүннү Их дэлгүүр
308,Хүүхдийн парк
775,Үндэсний Цэцэр-хүр
100000148,Хүннү 2222 хороолол
1494,Жапен таун
1496,Академи хотхон
1536,Могул таун
1538,Номун хотхон
1540,БОГДХАН АМРАЛТ
756,ТЭЦ4
1466,ТЭЦ4-дунд
240,7 буудал
313,Замын цагдаагийн пост
1255,Салхит завсар-1
1257,Салхит завсар-2
1342,Салхит завсар-3
330,Салхит
332,Ар согоот
900,Зунжин худалдааны төв
1001,Модны 2
187,13-р сургууль
191,Хайлааст завсар 3
219,Хайлааст завсар 2
659,Хайлааст завсар 1
221,Хайлааст хуучин эцэс
218,49-р сургууль
223,Хайлааст-Давхрын буудал
557,Механик инженер сурууль
100000142,Зүүн салааны шинэ эцэс
100000100,Зүүн салааны 5-р зогсоол
100000098,Зүүн салааны 4-р зогсоол
100000096,Зүүн салааны 3-р зогсоол
107,Зүүн салааны 1-р зогсоол
59,ГАН ХИЙЦ КОМПАНИ
37,Энхжин худалдааны төв
1442,Оргил худалдааны төв
100000115,Товчооны зам 1-р зогсоол
100000117,Товчооны зам 2-р зогсоол
100000119,Товчооны зам 3-р зогсоол
100000121,Товчооны зам 4-р зогсоол
100000123,Товчооны зам 5-р зогсоол
100000125,Товчооны зам 6-р зогсоол
1260,Авто Худалдааны Цогцолбор
1261,Авто Худалдааны Цогцолбор
465,ХУЖИРБУЛАНГИЙН ЭЦЭС
464,Хужирбулан завсар 2
452,11-р цэргийн анги
1384,120-р сургууль
450,Гачуурт завсар
1382,15-н зогсоол
449,Хар хошуу
447,Мангай
1480,Ургах наран хороолол эцэс
460,ГАЧУУРТЫН ЭЦЭС
459,Дундын буудал
462,Баруун дэнж
791,Монгол шилтгээн
789,Цагаан дэлгүүр
712,Зам анги
787,Хүлэмж
455,Цагдаагийн пост
785,Далан
683,2-ын Буудал
684,Дүнжингарав дэлгүүр
404,БЗД 6-р хороо
309,Шинэ үе дунд сургууль
